Snarl	P_value
['snarl', ['paths']]	"paths    3.618143e-102
dtype: float64"
['5262721_5262719', ['>5262719>5262721']]	">5262719>5262721   NaN
dtype: float64"
['5262721_5262719', ['>5262719>5262720>5262721']]	">5262719>5262720>5262721   NaN
dtype: float64"
['5262719_5262717', ['>5262717>5262719']]	">5262717>5262719   NaN
dtype: float64"
['5262719_5262717', ['>5262717>5262718>5262719']]	">5262717>5262718>5262719   NaN
dtype: float64"
['5262717_5262714', ['>5262714>5262715>5262717']]	">5262714>5262715>5262717   NaN
dtype: float64"
['5262717_5262714', ['>5262714>5262716>5262717']]	">5262714>5262716>5262717   NaN
dtype: float64"
['5262714_5262711', ['>5262711>5262712>5262714']]	">5262711>5262712>5262714   NaN
dtype: float64"
['5262714_5262711', ['>5262711>5262713>5262714']]	">5262711>5262713>5262714   NaN
dtype: float64"
['5262711_5262707', ['>5262707>5262708>5262711']]	">5262707>5262708>5262711   NaN
dtype: float64"
['5262711_5262707', ['>5262707>5262709>5262711']]	">5262707>5262709>5262711   NaN
dtype: float64"
['5262711_5262707', ['>5262707>5262710>5262711']]	">5262707>5262710>5262711   NaN
dtype: float64"
['5262707_5262705', ['>5262705>5262707']]	">5262705>5262707   NaN
dtype: float64"
['5262707_5262705', ['>5262705>5262706>5262707']]	">5262705>5262706>5262707   NaN
dtype: float64"
['5262705_5262702', ['>5262702>5262703>5262705']]	">5262702>5262703>5262705   NaN
dtype: float64"
['5262705_5262702', ['>5262702>5262704>5262705']]	">5262702>5262704>5262705   NaN
dtype: float64"
['5262702_5262699', ['>5262699>5262700>5262702']]	">5262699>5262700>5262702   NaN
dtype: float64"
['5262702_5262699', ['>5262699>5262701>5262702']]	">5262699>5262701>5262702   NaN
dtype: float64"
['5262699_5262696', ['>5262696>5262697>5262699']]	">5262696>5262697>5262699   NaN
dtype: float64"
['5262699_5262696', ['>5262696>5262698>5262699']]	">5262696>5262698>5262699   NaN
dtype: float64"
['5262696_5262693', ['>5262693>5262694>5262696']]	">5262693>5262694>5262696   NaN
dtype: float64"
['5262696_5262693', ['>5262693>5262695>5262696']]	">5262693>5262695>5262696   NaN
dtype: float64"
['5262693_5262690', ['>5262690>5262691>5262693']]	">5262690>5262691>5262693   NaN
dtype: float64"
['5262693_5262690', ['>5262690>5262692>5262693']]	">5262690>5262692>5262693   NaN
dtype: float64"
['5262690_5262687', ['>5262687>5262688>5262690']]	">5262687>5262688>5262690   NaN
dtype: float64"
['5262690_5262687', ['>5262687>5262689>5262690']]	">5262687>5262689>5262690   NaN
dtype: float64"
['5262687_5262684', ['>5262684>5262685>5262687']]	">5262684>5262685>5262687   NaN
dtype: float64"
['5262687_5262684', ['>5262684>5262686>5262687']]	">5262684>5262686>5262687   NaN
dtype: float64"
['5262684_5262681', ['>5262681>5262682>5262684']]	">5262681>5262682>5262684   NaN
dtype: float64"
['5262684_5262681', ['>5262681>5262683>5262684']]	">5262681>5262683>5262684   NaN
dtype: float64"
['5262681_5262678', ['>5262678>5262679>5262681']]	">5262678>5262679>5262681   NaN
dtype: float64"
['5262681_5262678', ['>5262678>5262680>5262681']]	">5262678>5262680>5262681   NaN
dtype: float64"
